continually; in a row; successively,连续
overcooked; rotten; soft; mushy,烂
scenery; landscape,风景
to move,移动
it is said that; reportedly,据说
it is said; legend; pass on (a story),传说
otherwise; not so,不然
style,风格
humanity; human race; mankind,人类
occupy; seize; to constitute,占
to control,控制
waist; lower back; pocket,腰
gentle and soft; tender; gentle,温柔
thorough; complete; completely,彻底
center; heart; core,中心
to admit; concede; acknowledge,承认
pause; arrange; stamp feet; suddenly; (mw for meals),顿
simply; at all,简直
lose sleep; insomnia,失眠
blue; green; young (Kangxi radical 174); Qinghai province (abbr.),青
frighten; to scare; intimidate,吓
flat; level; equal; ordinary,平
to quarrel; make noise,吵
wall,墙
intense; strong; violent,强烈
chest; bosom; heart,胸
moment; constantly,时刻
harvest; acquisition; gain,收获
desire; wish; aspiration,愿望
can't help but; have no choice,无奈
preferential; favorable,优惠
challenge,挑战
steal; pilfer,偷
one; armor (1st Heavenly Stem),甲
New Year's Day,元旦
imagine; visualize,想象
comprise; include; consist of,包括
exciting; provoke; irritate,刺激
lie in; be in; rest with; depend on,在于
data; numbers; digital,数据
to express; to voice; convey,表达
a person's tastes or preferences,口味
thunder,雷
regret; pity; sorry,遗憾
nowadays,如今
seek; look for; quest,寻找
investment,投资
silent; uncommunicative,沉默
to rush; to clash; to rinse; thoroughfare,冲
to put (on); arrange; to sway; pendulum,摆
"display, illustrate, to show",显示
(of a child) obedient; well-behaved; clever; perverse; contrary to reason,乖
wisdom; knowledge,智慧
mysterious; mystical,神秘
it seems; as if; seemingly,似乎
lead to; bring about; to cause,导致
reflect on; ponder; consider,思考
dark; gloomy; hidden; secret,暗
organize; organization,组织
"to rise (of prices, rivers); to go up | to swell; to bloat",涨
disappear; fade away; dissolve,消失
analyze; analysis,分析
thought; thinking; idea; ideology,思想
an official; organ; governmental,官
to save (life); to assist; to rescue,救
cloth; announce; to spread,布
courage; valor,勇气
fate; destiny,命运
branch; support; put up; (mw for long; narrow objects) (Kangxi radical 65),支
deal with; to process; sell at a discount; to treat (by a special process),处理
action; behavior; conduct,行为
individuality; personality,个性
round; circular; formal unit of Chinese currency,圆
poem; poetry; verse,诗
theme; subject; topic,主题
achieve; attain; to reach,达到
department; branch; section,部门
program; item; project,项目
necessary; essential; indispensable,必要
employee; staff; personnel,员工
spend; to pass,度过
sky; space; heavens,天空
to produce; emerge; to cause,产生
embrace; to hug,拥抱
great; mighty; large,伟大
react; respond; reply,反应
unit; work unit,单位
to float; flutter,飘
to break; decide; absolutely (usually negative),断
entertain; amuse; entertainment,娱乐
nutrition; nourishment; sustenance,营养
really; indeed,的确
to touch; to stroke; fish out; feel out,摸
cooperate; collaborate; work together,合作
fact; in fact,事实
stature; figure; build,身材
"sustain injuries (in an accident, etc.); be injured",受伤
expert; specialist,专家
stench; stink,臭
a secret; confidential,秘密
propaganda; to propagate; to give publicity to,宣传
equivalent to; appropriate; considerably; quite,相当
image; form; figure,形象
continue; persist,持续
to cause; make; bring out,造成
good and honest; kind-hearted,善良
immediately,立即
to comfort; to console,安慰
yawn; to lack; owe (Kangxi radical 76),欠
decade; era,年代
kiss; lips,吻
lean against; evidence; proof; no matter (what/how/etc.),凭
to use; to make use of; to exploit,利用
automatic,自动
industry; business,行业
blind,瞎
to retreat; decline; withdraw,退
place an order; book ahead; subscribe for,预订
ugly; disgraceful (2nd Earthly Branch),丑
staff; crew; personnel,人员
talent; talented person,人才
soft,软
to report; make known; inform; speech; lecture,报告
make public; announce; publicize,公布
make; manufacture,制作
independent,独立
princess,公主
compassion,爱心
to hit; collide; run into,撞
to take initiative; voluntary,主动
lid; top; cover; to build,盖
"width of cloth; size; (mw for pictures, paintings, textiles)",幅
luck,运气
strive; to struggle,奋斗
politics,政治
reason; sense; argument,道理
take a photograph; shoot a film,摄影
to record; take notes,记录
step upon; to tread; to stamp,踩
complain; grumble,抱怨
charm; glamour; enchantment,魅力
luxurious,豪华
to face; towards; dynasty,朝
characters; script; writing,文字
from beginning to end; all along,始终
tender; inexperienced,嫩
gold,黄金
(computer) software,软件
to sell; to market; sales,销售
develop; to exploit (a resource),开发
definite; certain; fixed; determine,确定
correlation; interrelated; dependence,相关
countless; innumerable,无数
tradition; traditional,传统
tint; color; hue,色彩
basin; (flower) pot,盆
cannot help but; unable to bear,忍不住
since (a previous event),以来
to trust; have confidence in,信任
to treat; to cure; medical treatment,治疗
marriage; matrimony; wedding,婚姻
from now on; since then,从此
suddenly; all of a sudden,忽然
in case (something happens); once (sth. has happened ... then); in one day,一旦
public square; plaza,广场
data; material; resources; information,资料
characteristic; distinguishing feature,特色
why should; there is no need to,何必
adjustment; revision,调整
warn against; swear off,戒
fog; mist,雾
potato,土豆
create; bring about; creativity,创造
to apply; to use; application,应用
at any time; whenever necessary,随时
to quarrel; to squabble; bicker,吵架
goods; commodity; merchandise,商品
easily; lightly; rashly,轻易
"figure; personage; character (in a play, story, etc.)",人物
scarf; shawl,围巾
feel wronged; nurse a grievance,委屈
business; profession,业务
degree; extent; level,程度
hard; stiff; obstinately,硬
assemble; combination,组合
master; host; owner,主人
reinstate; resume; recover,恢复
unexpected; accident; mishap,意外
consumption; spending,消费
to bear; support; endure; sustain,承受
to scald; to burn; scalding hot; to iron,烫
to bite; to nip,咬
as much as possible; to the best of one's ability (jìn-: eat or drink to one's fill),尽量
period of time; time,期间
bamboo used for drawing lots; toothpick; to sign (one's name),签
commemorate; remember,纪念
marry (a wife); take a wife,娶
to treat,对待
role; part,角色
insufficient; not enough,不足
(fashion) model,模特
shed tears,流泪
quilt; blanket,被子
vegetables; produce,蔬菜
(mw for flowers and clouds),朵
concentrated; dense,浓
link; connect; communicate,沟通
avoid; avert; prevent,避免
slippery; cunning; crafty,滑
simple; pure; merely,单纯
seems as if; rather like,似的
Europe,欧洲
not; do not,勿
funds; funding,资金
hate to part with; begrudge doing something,舍不得
replenish; to supplement; to complement,补充
breathe,呼吸
public; make public,公开
modern times; modern age,现代
even (if/though); no matter how,哪怕
finger,手指
install; erect; to fix; to mount,安装
matter; substance; material,物质
(formal) clothing; costume; dress,服装
know from experience; learn through experience; realize; understanding; experience,体会
promote (an idea or cause); to advance,促进
