then; at once; just; only; with regard to,就
also; too,也
to want; to need; will/shall; important,要
"particle indicating polite suggestion; | onomatopoeia | bar (serving drinks, providing internet access, etc.)",吧
arrive (at a place); until (a time),到
to give; to grant; (passive particle),给
still; yet; in addition; even,还
"particle attached after verb to indicate action in progress, like -ing ending",着
real; true; genuine,真
(complement particle),得
to pass; to cross; go over; (indicates a past experience),过
can; may; possible; okay,可以
the most; -est; (indicator for superlative),最
correct; a pair; to face; be opposite; to; towards,对
ask; let; yield,让
everyone,大家
two; 2; both; (unit of weight equal to 50 grams),两
again; once more,再
to wait; rank; equal; etc.,等
sun; day; date; time (Kangxi radical 72),日
fast; quick; swift,快
new; Xinjiang autonomous region (abbreviation),新
because,因为
(mw for number of times of occurrence); nth; order,次
together; in the same place,一起
go out; occur,出
to walk; to go; to move (Kangxi radical 156),走
feel; think,觉得
know; be aware of,知道
begin; to start; beginning,开始
time; period,时间
compare; (indicates comparison) (Kangxi radical 81); to gesticulate as one talks,比
to hope; wish for; to desire,希望
already,已经
try to find; look for; seek; to give change,找
to laugh; to smile,笑
don't do something; don't | depart; | other; difference; distinguish,别
from; obey; observe,从
to play; have a good time; visit; enjoy,玩
long; length | grow; chief (Kangxi radical 168),长
it,它
happy,快乐
a little bit/while; one time; once,一下
woman; female (Kangxi radical 38),女
so; therefore; as a result,所以
but; however,但是
high; tall (Kangxi radical 189),高
deliver; to carry; to give; send,送
to finish; be over; complete,完
child; children; son or daughter,孩子
male,男
understand; know,懂
why?; for what reason?,为什么
ask; inquire,问
to wear; put on; penetrate,穿
evening; night,晚上
you (polite),您
"(mw for things, clothes, and items)",件
road; path; journey; route,路
question; problem,问题
matter; affair; thing; business,事情
possible; maybe,可能
tired,累
mistake; error; blunder; miss an opportunity,错
hour,小时
although; even though,虽然
red; symbol of success; bonus; popular,红
white; snowy; pure; bright; empty (Kangxi radical 106),白
black; dark (Kangxi radical 203); Heilongjiang province (abbreviation),黑
extremely; extraordinary; very,非常
to tell; inform,告诉
to sell,卖
company; corporation,公司
in the process of (doing something); currently,正在
prepare; get ready,准备
(early) morning,早上
fish (Kangxi radical 195),鱼
health; (human) body,身体
door; opening; gate (Kangxi radical 169),门
go to work; be on duty,上班
enter; come in,进
each; every,每
eye,眼睛
far; distant; remote,远
help; assist; aid,帮助
test; exam; to give or take a test,考试
to wash; bathe,洗
outer; outside; in addition; foreign,外
ticket; bank note; a vote,票
busy,忙
get out of bed,起床
snow,雪
birthday,生日
older sister,姐姐
tasty,好吃
to talk; speak,说话
class; subject; lesson; course,课
coffee,咖啡
the right (as opposed to left) side,右边
to rest; take a break,休息
to go (in a direction); towards; in the past,往
meaning; idea; opinion,意思
near; close (to),近
leave; depart; go away; apart from,离
expensive; noble; honorable; Guizhou province (abbreviation),贵
(physical) exercise; movement; sports; campaign,运动
color,颜色
older brother,哥哥
cow's milk,牛奶
medicine; drug; cure; chemical,药
trip; journey; tour,旅游
last year,去年
"side, beside",旁边
(chicken) egg,鸡蛋
to introduce; recommend; introduction,介绍
slow,慢
topic; subject; question on a test or assignment,题
younger sister,妹妹
sing (a song),唱歌
cheap,便宜
clear; fine (as of weather),晴
cloudy (weather); yin (the negative principle of Yin and Yang); secret; the moon; negative; shade,阴
room,房间
younger brother,弟弟
wife,妻子
get sick; fall ill,生病
husband; man,丈夫
airport; airfield,机场
the left side; the left,左边
classroom,教室
watermelon,西瓜
to dance,跳舞
mutton; lamb,羊肉
newspaper,报纸
to run; to jog,跑步
to swim,游泳
wristwatch,手表
waiter/waitress; server; attendant,服务员
surname; family name,姓
pencil,铅笔
noodles,面条
train station,火车站
guesthouse; hotel,宾馆
(public) bus,公共汽车
hundred,百
play basketball,打篮球
first; number 1,第一
zero; remnant,零
one thousand,千
mobile (cell) phone,手机
to play football/soccer,踢足球
