1st,Smooth Sphere,,Golf Ball,
Fan Speed(%),Tunnel Velocity(m/s),Drag(N),Tunnel Velocity (m/s),Drag(N)
50,14.6,0,14.6,0
70,20,0.17,20.4,0
85,25,0.31,25.5,0.05
,,,,
2nd,Smooth Sphere,,Golf Ball,
Fan Speed(%),Tunnel Velocity(m/s),Drag(N),Tunnel Velocity (m/s),Drag(N)
50,14.5,0.01,14.4,0.02
70,20,0.03,20.4,0.02
85,25,0.15,25.5,0.04
