Prime Number,Time
2311,0.00015900000000000002
2333,0.000114
2339,0.000125
2341,0.000138
2347,0.00012
2351,0.000151
2357,0.000139
2371,0.000143
2377,0.000129
2381,0.000127
2383,0.000152
2389,0.000149
2393,0.00015
2399,0.000151
2411,0.000116
2417,0.000123
2423,0.000112
2437,0.000139
2441,0.000114
2447,0.000128
2459,0.000108
2467,0.00013000000000000002
2473,0.00011
2477,0.000114
2503,0.000131
2521,0.000134
2531,0.000133
2539,0.000134
2543,0.000135
2549,0.000135
2551,0.000136
2557,0.000138
2579,0.00013700000000000002
2591,0.000146
2593,0.000257
2609,0.000212
2617,9.8e-05
2621,0.000102
2633,0.000103
2647,9.9e-05
2657,0.000124
2659,0.00013000000000000002
2663,0.000127
2671,0.000125
2677,0.000125
2683,0.00013000000000000002
2687,0.000126
2689,0.000126
2693,0.000128
2699,0.000131
2707,0.000132
2711,0.000126
2713,0.00013000000000000002
2719,0.000127
2729,0.000131
2731,0.000128
2741,0.00013000000000000002
2749,0.000166
2753,0.000129
2767,0.000129
2777,0.00013000000000000002
2789,0.000135
2791,0.000187
2797,0.000131
2801,0.000176
2803,0.000127
2819,0.000129
2833,0.000198
2837,0.000134
2843,0.00013700000000000002
2851,0.000135
2857,0.000149
2861,0.00014199999999999998
2879,0.000135
2887,0.000135
2897,0.000136
2903,0.00013700000000000002
2909,0.000136
2917,0.00015
2927,0.000138
2939,0.000138
2953,0.000143
2957,0.00014199999999999998
2963,0.00014
2969,0.00014
2971,0.000145
2999,0.00014099999999999998
3001,0.00014
3011,0.00014
3019,0.000149
3023,0.00014099999999999998
3037,0.000143
3041,0.000203
3049,0.00016299999999999998
3061,0.000165
3067,0.00014099999999999998
3079,0.000189
3083,0.000197
3089,0.000124
3109,0.000117
3119,0.000147
3121,0.000152
3137,0.000151
3163,0.000149
3167,0.000151
3169,0.000151
3181,0.00015
3187,0.000155
3191,0.00015
3203,0.000151
3209,0.000161
3217,0.000152
3221,0.000161
3229,0.00015800000000000002
3251,0.000154
3253,0.00015800000000000002
3257,0.000156
3259,0.000154
3271,0.000155
3299,0.000181
3301,0.00015800000000000002
3307,0.00015800000000000002
3313,0.000157
3319,0.000157
3323,0.00016
3329,0.000157
3331,0.00016299999999999998
3343,0.00015800000000000002
3347,0.000127
3359,0.00015900000000000002
3361,0.000235
3371,0.000254
3373,0.000189
3389,0.000189
3391,0.000192
3407,0.000164
3413,0.000162
3433,0.00016299999999999998
3449,0.000165
3457,0.000164
3461,0.000169
3463,0.000182
3467,0.00016299999999999998
3469,0.000167
3491,0.000177
3499,0.000166
3511,0.000167
3517,0.000167
3527,0.000172
3529,0.000168
3533,0.000168
3539,0.000168
3541,0.00018
3547,0.000212
3557,0.000171
3559,0.00017
3571,0.000169
3581,0.000196
3583,0.000228
3593,0.000189
3607,0.000187
3613,0.000175
3617,0.000172
3623,0.000172
3631,0.000181
3637,0.000175
3643,0.000174
3659,0.000172
3671,0.000178
3673,0.000176
3677,0.000173
3691,0.000181
3697,0.000178
3701,0.000175
3709,0.000181
3719,0.000177
3727,0.000177
3733,0.000179
3739,0.000179
3761,0.000179
3767,0.000202
3769,0.000191
3779,0.000212
3793,0.000181
3797,0.000199
3803,0.000192
3821,0.000197
