then; at once; just; only; with regard to,就;就,jiù
also; too,也;也,yě
to want; to need; will/shall; important,要;要,yào
"particle indicating polite suggestion; | onomatopoeia | bar (serving drinks, providing internet access, etc.)",吧;吧,ba
arrive (at a place); until (a time),到;到,dào
to give; to grant; (passive particle),给;給,gěi
still; yet; in addition; even,还;還,hái
"particle attached after verb to indicate action in progress, like -ing ending",着;著,zhe
real; true; genuine,真;真,zhēn
(complement particle),得;得,de
to pass; to cross; go over; (indicates a past experience),过;過,guò
can; may; possible; okay,可以;可以,kě yǐ
the most; -est; (indicator for superlative),最;最,zuì
correct; a pair; to face; be opposite; to; towards,对;對,duì
ask; let; yield,让;讓,ràng
everyone,大家;大家,dà jiā
two; 2; both; (unit of weight equal to 50 grams),两;兩,liǎng
again; once more,再;再,zài
to wait; rank; equal; etc.,等;等,děng
sun; day; date; time (Kangxi radical 72),日;日,rì
fast; quick; swift,快;快,kuài
new; Xinjiang autonomous region (abbreviation),新;新,xīn
because,因为;因為,yīn wèi
(mw for number of times of occurrence); nth; order,次;次,cì
together; in the same place,一起;一起,yì qǐ
go out; occur,出;出,chū
to walk; to go; to move (Kangxi radical 156),走;走,zǒu
feel; think,觉得;覺得,jué de
know; be aware of,知道;知道,zhī dao
begin; to start; beginning,开始;開始,kāi shǐ
time; period,时间;時間,shí jiān
compare; (indicates comparison) (Kangxi radical 81); to gesticulate as one talks,比;比,bǐ
to hope; wish for; to desire,希望;希望,xī wàng
already,已经;已經,yǐ jing
try to find; look for; seek; to give change,找;找,zhǎo
to laugh; to smile,笑;笑,xiào
don't do something; don't | depart; | other; difference; distinguish,别;別,bié
from; obey; observe,从;從,cóng
to play; have a good time; visit; enjoy,玩;玩,wán
long; length | grow; chief (Kangxi radical 168),长;長,cháng | zhǎng
it,它;它,tā
happy,快乐;快樂,kuài lè
a little bit/while; one time; once,一下;一下,yí xià
woman; female (Kangxi radical 38),女;女,nǚ
so; therefore; as a result,所以;所以,suǒ yǐ
but; however,但是;但是,dàn shì
high; tall (Kangxi radical 189),高;高,gāo
deliver; to carry; to give; send,送;送,sòng
to finish; be over; complete,完;完,wán
child; children; son or daughter,孩子;孩子,hái zi
male,男;男,nán
understand; know,懂;懂,dǒng
why?; for what reason?,为什么;為什麼,wèi shén me
ask; inquire,问;問,wèn
to wear; put on; penetrate,穿;穿,chuān
evening; night,晚上;晚上,wǎn shang
you (polite),您;您,nín
"(mw for things, clothes, and items)",件;件,jiàn
road; path; journey; route,路;路,lù
question; problem,问题;問題,wèn tí
matter; affair; thing; business,事情;事情,shì qing
possible; maybe,可能;可能,kě néng
tired,累;累,lèi
mistake; error; blunder; miss an opportunity,错;錯,cuò
hour,小时;小時,xiǎo shí
although; even though,虽然;雖然,suī rán
red; symbol of success; bonus; popular,红;紅,hóng
white; snowy; pure; bright; empty (Kangxi radical 106),白;白,bái
black; dark (Kangxi radical 203); Heilongjiang province (abbreviation),黑;黑,hēi
extremely; extraordinary; very,非常;非常,fēi cháng
to tell; inform,告诉;告訴,gào su
to sell,卖;賣,mài
company; corporation,公司;公司,gōng sī
in the process of (doing something); currently,正在;正在,zhèng zài
prepare; get ready,准备;准備,zhǔn bèi
(early) morning,早上;早上,zǎo shang
fish (Kangxi radical 195),鱼;魚,yú
health; (human) body,身体;身體,shēn tǐ
door; opening; gate (Kangxi radical 169),门;門,mén
go to work; be on duty,上班;上班,shàng bān
enter; come in,进;進,jìn
each; every,每;每,měi
eye,眼睛;眼睛,yǎn jing
far; distant; remote,远;遠,yuǎn
help; assist; aid,帮助;幫助,bāng zhù
test; exam; to give or take a test,考试;考試,kǎo shì
to wash; bathe,洗;洗,xǐ
outer; outside; in addition; foreign,外;外,wài
ticket; bank note; a vote,票;票,piào
busy,忙;忙,máng
get out of bed,起床;起床,qǐ chuáng
snow,雪;雪,xuě
birthday,生日;生日,shēng rì
older sister,姐姐;姐姐,jiě jie
tasty,好吃;好吃,hǎo chī
to talk; speak,说话;說話,shuō huà
class; subject; lesson; course,课;課,kè
coffee,咖啡;咖啡,kā fēi
the right (as opposed to left) side,右边;右邊,yòu bian
to rest; take a break,休息;休息,xiū xi
to go (in a direction); towards; in the past,往;往,wǎng
meaning; idea; opinion,意思;意思,yì si
near; close (to),近;近,jìn
leave; depart; go away; apart from,离;離,lí
expensive; noble; honorable; Guizhou province (abbreviation),贵;貴,guì
(physical) exercise; movement; sports; campaign,运动;運動,yùn dòng
color,颜色;顏色,yán sè
older brother,哥哥;哥哥,gē ge
cow's milk,牛奶;牛奶,niú nǎi
medicine; drug; cure; chemical,药;藥,yào
trip; journey; tour,旅游;旅游,lǚ yóu
last year,去年;去年,qù nián
"side, beside",旁边;旁邊,páng biān
(chicken) egg,鸡蛋;雞蛋,jī dàn
