to Find
找
Zhǎo
not allowed
不行
Bùxíng
game
游戏
Yóuxì
suitable
适合
Shìhé
come in
进来
Jìnlái
bad person
坏人
Huàirén
You can do it
加油
Jiāyóu
Episode
集
Jí
The same old thing
我还是老样子
Wǒháishìlǎoyàngzi
Zhang Wanning
张婉凝
Zhāngwǎnníng
Pizza
披萨
Pīsà
Egg fried rice
蛋炒饭
Dànchǎofàn
Germany
德国
Déguó
Russia
俄国
Éguó
Italy
意大利
Yìdàlì
Ireland
爱尔兰
Ài'ěrlán
Canada
加拿大
Jiānádà
Thailand
泰国
Tàiguó
HSK
汉语水平考试
Hànyǔshuǐpíngkǎoshì
Scotland
苏格兰
Sūgélán
Glasgow
格拉斯哥
Gélāsīgē
Edinburgh
爱丁堡
Àidīngbǎo
Aberdeen
阿但丁
Adàndīng
Magic
魔法
Mófǎ
Stick
棒
Bàng
to wave
挥动
Huīdòng
and then
然后
Ránhòu
Frog
青蛙
Qīngwā
self
自己
Zìjǐ
should
应该
Yīnggāi
other
别的
Biéde
place
地方
Dìfāng
to feel
感到
Gǎndào
lonely
孤单
Gūdān
to need
需要
Xūyào
to Help
帮忙
Bāngmáng
Chocolate
巧克力
Qiǎokèlì
cookie
饼干
Bǐnggān
to Lick
舔
Tiǎn
to Begin
开始
Kāishǐ
video
视频
Shìpín
aerodynamics
空气动力学
Kōngqìdònglìxué
Thermodynamics
热力学
Rèlìxué
Mechanics
力学
Lìxué
Fluid Mechanics
流体力学
Liútǐlìxué
Engineer
工程师
Gōngchéngshī
Calculus
微积分学
Wéijīfēnxué
Roommate
室友
Shìyǒu
to download
下载
Xiàzài
to upload
上传
Shàngchuán
