grass; straw; draft (of a document),草;草,cǎo
at once; immediately; right away,马上;馬上,mǎ shàng
fat; plump,胖;胖,pàng
news,新闻;新聞,xīn wén
influence; affect; effect,影响;影響,yǐng xiǎng
hair (on the head),头发;頭發,tóu fa
gift; present,礼物;禮物,lǐ wù
culture; civilization,文化;文化,wén huà
catch cold; (common) cold,感冒;感冒,gǎn mào
sound; voice,声音;聲音,shēng yīn
teach; instruct | religion; teaching,教;教,jiāo | jiào
relation; to concern,关系;關系,guān xi
of course; naturally,当然;當然,dāng rán
bad; broken,坏;壞,huài
mouth,嘴;嘴,zuǐ
be careful,小心;小心,xiǎo xīn
settle (a dispute); resolve; solve,解决;解決,jiě jué
to pass; go through; as a result of,经过;經過,jīng guò
young,年轻;年輕,nián qīng
East,东;東,dōng
blue,蓝;藍,lán
method; way (of doing something),办法;辦法,bàn fǎ
clear; distinct; be clear about,清楚;清楚,qīng chu
the sun,太阳;太陽,tài yáng
afraid of; to fear,害怕;害怕,hài pà
bowl; cup,碗;碗,wǎn
afterwards; after; later,后来;后來,hòu lái
be grieved; be sad; have a hard time,难过;難過,nán guò
program; item (on a program),节目;節目,jié mù
"how (wonderful, etc.); what (a great idea)",多么;多麼,duō me
history,历史;歷史,lì shǐ
environment; surroundings,环境;環境,huán jìng
comfortable; feeling well,舒服;舒服,shū fu
serious; earnest; take seriously,认真;認真,rèn zhēn
tree,树;樹,shù
to help,帮忙;幫忙,bāng máng
concerned about/with,关心;關心,guān xīn
colleague; co-worker,同事;同事,tóng shì
one side; on the one hand; at the same time,一边;一邊,yì biān
just now; a moment ago,刚才;剛才,gāng cái
an extreme; pole; very,极;極,jí
cake,蛋糕;蛋糕,dàn gāo
intelligent; clever; bright; smart,聪明;聰明,cōng ming
bank,银行;銀行,yín háng
about; regarding; concerning,关于;關於,guān yú
subway,地铁;地鐵,dì tiě
"(mw for layers, floors of buildings)",层;層,céng
to reply; to answer,回答;回答,huí dá
lamp; light,灯;燈,dēng
(sports) match; competition,比赛;比賽,bǐ sài
main; principal; major,主要;主要,zhǔ yào
to close; shut; concern; relationship; turn off; mountain pass,关;關,guān
angry; mad,生气;生氣,shēng qì
South,南;南,nán
school assignment; homework; task,作业;作業,zuò yè
agree; to consent; approve,同意;同意,tóng yì
(mw for vehicles),辆;輛,liàng
to surf the web; to go online,上网;上網,shàng wǎng
sweet,甜;甜,tián
short; low,矮;矮,ǎi
green,绿;綠,lǜ
bathe; take a bath or shower; bath or shower,洗澡;洗澡,xǐ zǎo
to chat,聊天;聊天,liáo tiān
take care of; look after; give consideration,照顾;照顧,zhào gu
quiet; peaceful; calm,安静;安靜,ān jìng
convenient,方便;方便,fāng biàn
grandma; (informal) paternal grandmother,奶奶;奶奶,nǎi nai
a boat; vessel; ship,船;船,chuán
"fresh (experience, food, etc.); new; novel",新鲜;新鮮,xīn xiān
animal,动物;動物,dòng wù
lend; borrow; excuse,借;借,jiè
clean; neat and tidy,干净;干淨,gān jìng
eat until full; satisfied,饱;飽,bǎo
mathematics,数学;數學,shù xué
cordial; warm; enthusiastic,热情;熱情,rè qíng
to raise; heighten; improve,提高;提高,tí gāo
driver; chauffeur,司机;司機,sī jī
change,变化;變化,biàn huà
strange; odd,奇怪;奇怪,qí guài
office,办公室;辦公室,bàn gōng shì
to plan; intend,打算;打算,dǎ suàn
almost,几乎;幾乎,jī hū
level; standard; horizontal,水平;水平,shuǐ píng
old; past; used,旧;舊,jiù
summer,夏;夏,xià
the moon,月亮;月亮,yuè liang
to ride (an animal or bike); to sit astride,骑;騎,qí
center; middle; between; among,中间;中間,zhōng jiān
(in the) vicinity; nearby; neighboring,附近;附近,fù jìn
according to; based on; basis,根据;根據,gēn jù
holiday; festival,节日;節日,jié rì
achievement; success; results (of work or study),成绩;成績,chéng jì
meet/see somebody; meeting,见面;見面,jiàn miàn
banana,香蕉;香蕉,xiāng jiāo
revise; to review,复习;復習,fù xí
auntie; step-mother; mother's younger sister,阿姨;阿姨,ā yí
arrive late,迟到;遲到,chí dào
relax; feel relieved; rest assured,放心;放心,fàng xīn
Chinese (language),中文;中文,zhōng wén
