sentence-final particle: a contraction of 了 (le) and 啊 (a),啦;啦,la
oh (indicates understanding),哦;哦,ò
wow; (sound of crying or surprise),哇;哇,wa
(used to persuade somebody to do something); (particle indicating obviousness) | (colloqial) what?,嘛;嘛,ma | má
(spoken) what,啥;啥,shá
comment on; discuss; remark,评论;評論,píng lùn
vote; poll,投票;投票,tóu piào
have; possess,拥有;擁有,yōng yǒu
video,视频;視頻,shì pín
other people; others; they; I; family; household,人家;人家,rén jiā
customer; account; client,客户;客戶,kè hù
hey; to feed | hello (on the phone),喂;喂,wèi | wéi
pit; hole; defraud,坑;坑,kēng
to break; to fracture; convert into; to fold,折;折,zhé
to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate; to rejuvenate,更新;更新,gēng xīn
end; beginning; extremity; carry holding something from the sides,端;端,duān
scene (of event or incident); on the spot,现场;現場,xiàn chǎng
time; era; period of time,时光;時光,shí guāng
"to erect; to build; travel by (car, plane, etc.); to hang; to join",搭;搭,dā
how/why (contraction of 怎么),咋;咋,zǎ
that's all; nothing more,而已;而已,ér yǐ
obviously; plainly; undoubtedly,明明;明明,míng míng
collect; keep,收藏;收藏,shōu cáng
firm; decisive,果断;果斷,guǒ duàn
pair up; arrange in pairs; to add sth. into a group; to suit,搭配;搭配,dā pèi
user; consumer; subscriber; customer,用户;用戶,yòng hù
to reward (as encouragement),奖励;獎勵,jiǎng lì
in the twinkling of an eye; in an instant; momentary,瞬间;瞬間,shùn jiān
the actual facts; reality,真相;真相,zhēn xiàng
to fasten; to button; button; buckle; knot; to arrest; to confiscate; to deduct (money); discount; to knock; put upside down; to smash or spike (a ball); to cover (with a bowl etc); fig. to tag a label on sb,扣;扣,kòu
roar; howl,吼;吼,hǒu
issue; announce; release,发布;發布,fā bù
in silence; not speaking,默默;默默,mò mò
afraid; terror,恐怖;恐怖,kǒng bù
disgusting; nauseous; make somebody embarrassed (èxīn: bad/vicious habit; vice),恶心;惡心,ě xin
series,系列;系列,xì liè
gaiety; glee; delighted,欢乐;歡樂,huān lè
membrane; film,膜;膜,mó
lonely; solitary,孤独;孤獨,gū dú
undertaking; project; cause; enterprise,事业;事業,shì yè
sex appeal; sexy; sexuality,性感;性感,xìng gǎn
heart; soul; smart; quick-witted,心灵;心靈,xīn líng
balance; scale; steelyard,秤;秤,chèng
hey/hi (loanword); oh; alas;,嗨;嗨,hāi
step across; stride; straddle; to cross,跨;跨,kuà
porridge; congee; gruel,粥;粥,zhōu
conclusion; ending,结局;結局,jié jú
make a model; to mold,造型;造型,zào xíng
also,亦;亦,yì
temperament; disposition,气质;氣質,qì zhì
to smash; to pound; to break; fail,砸;砸,zá
to lead along; to pull (an animal on a tether),牵;牽,qiān
literature and art,文艺;文藝,wén yì
event; happening; incident,事件;事件,shì jiàn
the years of a person's life,岁月;歲月,suì yuè
tempt; temptation; entice; lure; attract,诱惑;誘惑,yòu huò
pyschology; mentality; spirit,心态;心態,xīn tài
expression or emotion showing in one's eyes,眼神;眼神,yǎn shén
official; (by the) government,官方;官方,guān fāng
as before; still,依旧;依舊,yī jiù
miraculous; magical; mystical,神奇;神奇,shén qí
party; club; association,党;黨,dǎng
hey; interjection for calling attention,嘿;嘿,hēi
"(mw for coins, rings, medals)",枚;枚,méi
groan; snort; to hum; croon,哼;哼,hēng
pass through; cut across,穿越;穿越,chuān yuè
hard to come by; difficult to get; rare,难得;難得,nán dé
to roll (up); to coil; (mw for tapes),卷;卷,juǎn
to pinch (with one's fingers); knead,捏;捏,niē
think of; long for; to miss,思念;思念,sī niàn
will shortly; soon; be on the verge of,即将;即將,jí jiāng
spread; proliferation,扩散;擴散,kuò sàn
at that time; at the outset; originally,当初;當初,dāng chū
to fall down; to drop,跌;跌,diē
passion; strong emotion; fervor; enthusiasm,激情;激情,jī qíng
to land; come ashore; sign/log in,登陆;登陸,dēng lù
live broadcast (not recorded),直播;直播,zhí bō
"to be jealous; to envy, covet; to hate; to begrudge",嫉妒;嫉妒,jí dù
to bully; intimidate,欺负;欺負,qī fu
nest; den,窝;窩,wō
impulsive; act on impulse,冲动;沖動,chōng dòng
vice-; secondary; auxiliary; deputy; assistant; classifier for pairs (i.e. glasses),副;副,fù
to promise,承诺;承諾,chéng nuò
model; pattern; method,模式;模式,mó shì
put on make-up,化妆;化妝,huà zhuāng
massage,按摩;按摩,àn mó
to die; death; be dead,死亡;死亡,sǐ wáng
dregs; slag,渣;渣,zhā
paradise; heaven,天堂;天堂,tiān táng
policy,政策;政策,zhèng cè
soul; spirit; conscience,灵魂;靈魂,líng hún
anniversary; annual,周年;周年,zhōu nián
dredge up; fish up,捞;撈,lāo
love dearly; the pain of love,心疼;心疼,xīn téng
citizen,公民;公民,gōng mín
early in the morning,凌晨;淩晨,líng chén
harmonious; concordant,和谐;和諧,hé xié
play/mess around with; juggle,耍;耍,shuǎ
break out; erupt; explode,爆发;爆發,bào fā
vitamin,维生素;維生素,wéi shēng sù
second place; runner-up,亚军;亞軍,yà jūn
tide; current; trend,潮流;潮流,cháo liú
to try; attempt,尝试;嘗試,cháng shì
boundary; state; realm; level,境界;境界,jìng jiè
I; me; myself; oneself; in person,本人;本人,běn rén
accident,事故;事故,shì gù
degree; rate,等级;等級,děng jí
besides; except; remove; to divide (mathematics),除;除,chú
not at all; completely without; not in the least,毫无;毫無,háo wú
sword,剑;劍,jiàn
to refuse to change one's viewpoint,执着;執著,zhí zhuó
strength,实力;實力,shí lì
endure; to boil,熬;熬,áo
"intelligent; capability; smart (phone, system, bomb, etc.)",智能;智能,zhì néng
person; public figure,人士;人士,rén shì
third in a race; bronze medalist,季军;季軍,jì jūn
all; each and every; in all cases,皆;皆,jiē
be busy; bustling,忙碌;忙碌,máng lù
weak; fragile; flimsy; frail,脆弱;脆弱,cuì ruò
kneel,跪;跪,guì
sign-in,登录;登錄,dēng lù
"camera shot (in a movie, etc.); scene; camera lens",镜头;鏡頭,jìng tóu
resist; resistance,抵抗;抵抗,dǐ kàng
jade (Kangxi radical 96),玉;玉,yù
inspiration; insight; a burst of creativity in scientific or artistic endeavor,灵感;靈感,líng gǎn
a grain; granule; (mw for grain-like things),粒;粒,lì
to prick; push a needle into; penetrating,扎;紮,zhā
edition,版本;版本,bǎn běn
collapse; crumble; fall apart,崩溃;崩潰,bēng kuì
guy; chap; tool; weapon,家伙;家夥,jiā huo
wealth; riches; fortune,财富;財富,cái fù
itself; in itself; per se,本身;本身,běn shēn
Idol,偶像;偶像,ǒu xiàng
"screen (TV, etc.)",屏幕;屏幕,píng mù
inner quality; basic essence; character quality,素质;素質,sù zhì
power; motion; impetus; driving force,动力;動力,dòng lì
matchless; incomparable,无比;無比,wú bǐ
baby; child; doll,娃娃;娃娃,wá wa
