"indicates possession, like adding 's to a noun",的;的,de
I; me,我;我,wǒ
indicates a completed or finished action,了;了,le
you (singular),你;你,nǐ
be; is; are; am,是;是,shì
at; on; in; indicates an action in progress,在;在,zài
have,有;有,yǒu
no; not,不;不,bù
general measure word,个;個,ge
good,好;好,hǎo
person; man; people,人;人,rén
all; both,都;都,dōu
this,这;這,zhè
go; to leave,去;去,qù
speak,说;說,shuō
and; with,和;和,hé
very; quite,很;很,hěn
know how to,会;會,huì
see; look at; to watch,看;看,kàn
come; arrive; ever since; next,来;來,lái
above; up,上;上,shàng
think; believe; suppose; would like to,想;想,xiǎng
he; him,他;他,tā
we; us,我们;我們,wǒ men
love,爱;愛,ài
big; large,大;大,dà
too (much),太;太,tài
eat,吃;吃,chī
year,年;年,nián
not have; there is not,没有;沒有,méi yǒu
that; then,那;那,nà
can; be able,能;能,néng
do; make,做;做,zuò
small; young,小;小,xiǎo
what? (replaces the noun to turn a statement into a question),什么;什麼,shén me
today,今天;今天,jīn tiān
indicates a question; how about...?;,呢;呢,ne
to like,喜欢;喜歡,xǐ huan
indicates a yes/no question (added to a statement),吗;嗎,ma
fall; below,下;下,xià
she,她;她,tā
now,现在;現在,xiàn zài
time,时候;時候,shí hou
inside; Chinese mile (~.5 km),里;裡,lǐ
moon; month,月;月,yuè
who,谁;誰,shéi
how?,怎么;怎麼,zěn me
family; home,家;家,jiā
to buy,买;買,mǎi
please; invite; to treat someone to something,请;請,qǐng
to be called,叫;叫,jiào
water,水;水,shuǐ
China,中国;中國,zhōng guó
tomorrow,明天;明天,míng tiān
friend,朋友;朋友,péng you
things; stuff,东西;東西,dōng xi
listen; hear,听;聽,tīng
to open; to start; to operate (a vehicle),开;開,kāi
how many; several; a few,几;幾,jǐ
to drink,喝;喝,hē
to return; to reply; to go back,回;回,huí
money; coin,钱;錢,qián
number; day of a month,号;號,hào
years old; age,岁;歲,suì
thank you,谢谢;謝謝,xiè xie
cold,冷;冷,lěng
work; a job,工作;工作,gōng zuò
to write; to compose,写;寫,xiě
to live; reside; to stop,住;住,zhù
to sleep; go to bed,睡觉;睡覺,shuì jiào
few; little,少;少,shǎo
dog,狗;狗,gǒu
measure word for books,本;本,běn
movie; film,电影;電影,diàn yǐng
mom; mum,妈妈;媽媽,mā ma
how much?; how many?,多少;多少,duō shao
which; how,哪;哪,nǎ
sit,坐;坐,zuò
minute; (measure word for time),分钟;分鐘,fēn zhōng
teacher,老师;老師,lǎo shī
yesterday,昨天;昨天,zuó tiān
letter; character,字;字,zì
afternoon,下午;下午,xià wǔ
Beijing,北京;北京,běi jīng
cat,猫;貓,māo
lump; piece; sum of money,块;塊,kuài
learn; to study,学习;學習,xué xí
heat; hot,热;熱,rè
computer,电脑;電腦,diàn nǎo
pretty; beautiful,漂亮;漂亮,piào liang
fellow student; schoolmate,同学;同學,tóng xué
book; letter,书;書,shū
school,学校;學校,xué xiào
weather,天气;天氣,tiān qì
Dad,爸爸;爸爸,bà ba
dish (type of food); vegetables,菜;菜,cài
recognize; know (a person),认识;認識,rèn shi
apple,苹果;蘋果,píng guǒ
see; catch sight of,看见;看見,kàn jiàn
some; few; several,些;些,xiē
name,名字;名字,míng zi
tea,茶;茶,chá
to read; to study,读;讀,dú
student,学生;學生,xué sheng
noon; midday,中午;中午,zhōng wǔ
son,儿子;兒子,ér zi
hello (on the phone),喂;喂,wèi
sorry,对不起;對不起,duì bu qǐ
television; TV,电视;電視,diàn shì
make a phone call,打电话;打電話,dǎ diàn huà
back; behind,后面;后面,hòu mian
happy; glad,高兴;高興,gāo xìng
daughter,女儿;女兒,nǚ ér
hospital,医院;醫院,yī yuàn
fruit,水果;水果,shuǐ guǒ
week,星期;星期,xīng qī
how about?; how is/was it?,怎么样;怎麼樣,zěn me yàng
late morning (before noon),上午;上午,shàng wǔ
to rain,下雨;下雨,xià yǔ
goodbye; see you later,再见;再見,zài jiàn
doctor,医生;醫生,yī shēng
in front,前面;前面,qián miàn
Mr.; Sir,先生;先生,xiān sheng
airplane,飞机;飛機,fēi jī
young lady; miss; Ms.,小姐;小姐,xiǎo jie
where? (Beijing accent),哪儿;哪兒,nǎ r
it doesn't matter; never mind,没关系;沒關系,méi guān xi
cup; glass,杯子;杯子,bēi zi
table; desk,桌子;桌子,zhuō zi
Chinese language,汉语;漢語,hàn yǔ
(cooked) rice,米饭;米飯,mǐ fàn
chair,椅子;椅子,yǐ zi
taxi; cab,出租车;出租車,chū zū chē
shop; store,商店;商店,shāng diàn
restaurant; hotel,饭店;飯店,fàn diàn
a bit; a few,一点儿;一點兒,yì diǎn r
you're welcome; don't be polite,不客气;不客氣,bú kè qi
four,四;四,sì
three,三;三,sān
many,多;多,duō
clothes,衣服;衣服,yī fu
two,二;二,èr
one; once; a,一;一,yī
five,五;五,wǔ
seven,七;七,qī
six,六;六,liù
nine,九;九,jiǔ
eight,八;八,bā
ten,十;十,shí
a dot; a little; o'clock,点;點,diǎn
