sentence-final particle: a contraction of 了 (le) and 啊 (a),啦
oh (indicates understanding),哦
wow; (sound of crying or surprise),哇
(used to persuade somebody to do something); (particle indicating obviousness) | (colloqial) what?,嘛
(spoken) what,啥
comment on; discuss; remark,评论
vote; poll,投票
have; possess,拥有
video,视频
other people; others; they; I; family; household,人家
customer; account; client,客户
hey; to feed | hello (on the phone),喂
pit; hole; defraud,坑
to break; to fracture; convert into; to fold,折
to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate; to rejuvenate,更新
end; beginning; extremity; carry holding something from the sides,端
scene (of event or incident); on the spot,现场
time; era; period of time,时光
"to erect; to build; travel by (car, plane, etc.); to hang; to join",搭
how/why (contraction of 怎么),咋
that's all; nothing more,而已
obviously; plainly; undoubtedly,明明
collect; keep,收藏
firm; decisive,果断
pair up; arrange in pairs; to add sth. into a group; to suit,搭配
user; consumer; subscriber; customer,用户
to reward (as encouragement),奖励
in the twinkling of an eye; in an instant; momentary,瞬间
the actual facts; reality,真相
to fasten; to button; button; buckle; knot; to arrest; to confiscate; to deduct (money); discount; to knock; put upside down; to smash or spike (a ball); to cover (with a bowl etc); fig. to tag a label on sb,扣
roar; howl,吼
issue; announce; release,发布
in silence; not speaking,默默
afraid; terror,恐怖
disgusting; nauseous; make somebody embarrassed (èxīn: bad/vicious habit; vice),恶心
series,系列
gaiety; glee; delighted,欢乐
membrane; film,膜
lonely; solitary,孤独
undertaking; project; cause; enterprise,事业
sex appeal; sexy; sexuality,性感
heart; soul; smart; quick-witted,心灵
balance; scale; steelyard,秤
hey/hi (loanword); oh; alas;,嗨
step across; stride; straddle; to cross,跨
porridge; congee; gruel,粥
conclusion; ending,结局
make a model; to mold,造型
also,亦
temperament; disposition,气质
to smash; to pound; to break; fail,砸
to lead along; to pull (an animal on a tether),牵
literature and art,文艺
event; happening; incident,事件
the years of a person's life,岁月
tempt; temptation; entice; lure; attract,诱惑
pyschology; mentality; spirit,心态
expression or emotion showing in one's eyes,眼神
official; (by the) government,官方
as before; still,依旧
miraculous; magical; mystical,神奇
party; club; association,党
hey; interjection for calling attention,嘿
"(mw for coins, rings, medals)",枚
groan; snort; to hum; croon,哼
pass through; cut across,穿越
hard to come by; difficult to get; rare,难得
to roll (up); to coil; (mw for tapes),卷
to pinch (with one's fingers); knead,捏
think of; long for; to miss,思念
will shortly; soon; be on the verge of,即将
spread; proliferation,扩散
at that time; at the outset; originally,当初
to fall down; to drop,跌
passion; strong emotion; fervor; enthusiasm,激情
to land; come ashore; sign/log in,登陆
live broadcast (not recorded),直播
"to be jealous; to envy, covet; to hate; to begrudge",嫉妒
to bully; intimidate,欺负
nest; den,窝
impulsive; act on impulse,冲动
vice-; secondary; auxiliary; deputy; assistant; classifier for pairs (i.e. glasses),副
to promise,承诺
model; pattern; method,模式
put on make-up,化妆
massage,按摩
to die; death; be dead,死亡
dregs; slag,渣
paradise; heaven,天堂
policy,政策
soul; spirit; conscience,灵魂
anniversary; annual,周年
dredge up; fish up,捞
love dearly; the pain of love,心疼
citizen,公民
early in the morning,凌晨
harmonious; concordant,和谐
play/mess around with; juggle,耍
break out; erupt; explode,爆发
vitamin,维生素
second place; runner-up,亚军
tide; current; trend,潮流
to try; attempt,尝试
boundary; state; realm; level,境界
I; me; myself; oneself; in person,本人
accident,事故
degree; rate,等级
besides; except; remove; to divide (mathematics),除
not at all; completely without; not in the least,毫无
sword,剑
