according to; based on; basis,根据
holiday; festival,节日
achievement; success; results (of work or study),成绩
meet/see somebody; meeting,见面
banana,香蕉
revise; to review,复习
auntie; step-mother; mother's younger sister,阿姨
arrive late,迟到
relax; feel relieved; rest assured,放心
Chinese (language),中文
(informal) father's father; paternal grandfather,爷爷
ear,耳朵
pants; trousers,裤子
satisfied; pleased,满意
a while; a moment,一会儿
bread,面包
to check; examine; inspect,检查
nose,鼻子
hat; cap,帽子
season; time; period,季节
meeting; conference,会议
beer,啤酒
(informal) father's younger brother; uncle,叔叔
physical training; sports,体育
horn; angle; unit of money (1/10 yuan); corner (Kangxi radical 148) | role (theater),角
to exercise; work out; toughen; to temper,锻炼
beverage; drink,饮料
public park,公园
library,图书馆
refrigerator,冰箱
to move; to transport,搬
shirt; blouse,衬衫
panda,熊猫
quarter (hour); (mw for short time intervals); carve; to cut,刻
umbrella; parasol,伞
notebook,笔记本
bike; bicycle,自行车
elevator,电梯
air conditioning,空调
manager; director,经理
skirt,裙子
practice; exercise,练习
to worry; feel anxious,着急
hobby; fond of; to like; interest,爱好
chopsticks,筷子
credit card,信用卡
"principal (of school, college or university); president; headmaster",校长
study abroad,留学
not only,不但
be interested in,感兴趣
north; the northern part of the country,北方
guest; customer,客人
brush one's teeth,刷牙
map,地图
neighbor,邻居
street,街道
bottle,瓶子
altogether; in total,一共
to ask for time off,请假
kilogram,公斤
to clean; to sweep,打扫
leather shoes,皮鞋
thirsty,渴
take off (in an airplane); liftoff,起飞
famous; well-known,有名
sentence,句子
mountain climbing,爬山
passport,护照
plate; dish; tray,盘子
blackboard,黑板
Yellow River,黄河
menu,菜单
toilet; lavatory; washroom,洗手间
height; stature; build,个子
trunk; suitcase,行李箱
grade; year (in school),年级
camera,照相机
windy; to blow (wind),刮风
dictionary,词典
email,电子邮件
supermarket,超市
to worry; feel anxious,担心
have a fever,发烧
ten thousand,万
weekend,周末
